node_id,intervention,mean_total_conflicts,std_total_conflicts,mean_severe_conflicts,std_severe_conflicts,num_replicates,baseline_mean_conflicts,baseline_mean_severe,conflict_delta,conflict_pct_change,severe_delta,severe_pct_change,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows,likely_real_effect
1177160864,none,256.3333333333333,23.158871590242338,75.0,12.767145334803704,3,256.3333333333333,75.0,0.0,0.0,0.0,0.0,priority,False,4,4,18.05,22.56767952940121,88.3550875745227,42,6.759285714285714,17.98,18,0.1392857142857143,22.205714285714286,0.0,1.6535714285714285,3.597857142857143,0.08,-0.4585714285714286,-5.0,225,14,False
1177160864,speed_breaker,243.33333333333334,4.509249752822891,64.66666666666667,10.263202878893766,3,256.3333333333333,75.0,-12.999999999999972,-5.071521456436921,-10.333333333333329,-13.777777777777771,priority,False,4,4,18.05,22.56767952940121,88.3550875745227,42,6.759285714285714,17.98,18,0.1392857142857143,22.205714285714286,0.0,1.6535714285714285,3.597857142857143,0.08,-0.4585714285714286,-5.0,225,14,False
1177212157,none,531.3333333333334,25.423086620891116,181.66666666666666,7.023769168568497,3,531.3333333333334,181.66666666666666,0.0,0.0,0.0,0.0,priority,False,5,5,26.67,22.56810642844221,88.36025779779922,105,13.7,18.0,77,0.2134782608695652,21.077142857142857,0.0,1.5742857142857145,3.3704761904761904,0.11,0.1852173913043478,-5.0,158,23,False
1177212157,speed_breaker,512.6666666666666,16.502525059315406,175.66666666666666,10.598742063723096,3,531.3333333333334,181.66666666666666,-18.666666666666742,-3.51317440401507,-6.0,-3.302752293577982,priority,False,5,5,26.67,22.56810642844221,88.36025779779922,105,13.7,18.0,77,0.2134782608695652,21.077142857142857,0.0,1.5742857142857145,3.3704761904761904,0.11,0.1852173913043478,-5.0,158,23,False
13300645527,none,532.6666666666666,25.54081700598738,208.66666666666666,14.0118997046558,3,532.6666666666666,208.66666666666666,0.0,0.0,0.0,0.0,rail_crossing,False,6,6,23.15,22.56821888511195,88.36027835176473,1,24.80333333333333,16.26,0,0.12,7.569999999999999,0.0,-0.661111111111111,2.962222222222222,0.18,-0.2822222222222222,-5.0,17,9,False
13300645527,speed_breaker,516.0,13.0,200.66666666666666,20.108041509140893,3,532.6666666666666,208.66666666666666,-16.66666666666663,-3.1289111389236477,-8.0,-3.8338658146964857,rail_crossing,False,6,6,23.15,22.56821888511195,88.36027835176473,1,24.80333333333333,16.26,0,0.12,7.569999999999999,0.0,-0.661111111111111,2.962222222222222,0.18,-0.2822222222222222,-5.0,17,9,False
664472699,none,290.3333333333333,36.90979996333404,79.0,13.228756555322953,3,290.3333333333333,79.0,0.0,0.0,0.0,0.0,priority,False,4,4,18.05,22.56797131329064,88.35458928487955,3,16.903846153846153,17.89,0,0.0207692307692307,42.62583333333333,0.0,1.3116666666666668,4.59,0.05,0.0892307692307692,-5.0,55,13,False
664472699,speed_breaker,296.6666666666667,41.18656738954259,71.0,11.269427669584644,3,290.3333333333333,79.0,6.333333333333371,2.1814006888633886,-8.0,-10.126582278481013,priority,False,4,4,18.05,22.56797131329064,88.35458928487955,3,16.903846153846153,17.89,0,0.0207692307692307,42.62583333333333,0.0,1.3116666666666668,4.59,0.05,0.0892307692307692,-5.0,55,13,False
cluster_10279701142_664471710,none,268.6666666666667,38.759944960401235,77.33333333333333,15.143755588800731,3,268.6666666666667,77.33333333333333,0.0,0.0,0.0,0.0,priority,False,12,8,16.67,22.567898961306405,88.35605718601485,67,10.198409090909092,17.98,22,0.0845454545454545,50.93285714285714,0.0,-1.4185714285714286,10.542142857142856,0.5,0.2813636363636363,-5.0,118,44,False
cluster_10279701142_664471710,speed_breaker,287.0,47.286361670147556,78.66666666666667,6.429100507328638,3,268.6666666666667,77.33333333333333,18.333333333333314,6.823821339950364,1.3333333333333428,1.7241379310344953,priority,False,12,8,16.67,22.567898961306405,88.35605718601485,67,10.198409090909092,17.98,22,0.0845454545454545,50.93285714285714,0.0,-1.4185714285714286,10.542142857142856,0.5,0.2813636363636363,-5.0,118,44,False
cluster_10279761592_11942000229_11942000233_663943274,none,395.0,5.5677643628300215,110.0,11.135528725660043,3,395.0,110.0,0.0,0.0,0.0,0.0,priority,False,7,7,17.46,22.56808017789596,88.34907729316154,32,9.631764705882354,17.95,8,0.0588235294117647,44.839375,0.0,0.854375,5.278125,0.37,-0.3805882352941176,-5.0,184,17,False
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,376.3333333333333,13.05118130030126,108.66666666666667,20.033305601755625,3,395.0,110.0,-18.666666666666686,-4.725738396624477,-1.3333333333333286,-1.2121212121212077,priority,False,7,7,17.46,22.56808017789596,88.34907729316154,32,9.631764705882354,17.95,8,0.0588235294117647,44.839375,0.0,0.854375,5.278125,0.37,-0.3805882352941176,-5.0,184,17,True
cluster_10281958925_10281958926_6508834064_6508834065_#1more,none,279.3333333333333,19.03505538035898,78.0,13.114877048604,3,279.3333333333333,78.0,0.0,0.0,0.0,0.0,priority,False,11,7,17.43,22.57242988055185,88.358576276534,60,9.8965625,17.99,32,0.0909375,55.47870967741935,0.0,1.900967741935484,7.041935483870968,0.37,-0.559375,-5.0,343,32,False
cluster_10281958925_10281958926_6508834064_6508834065_#1more,speed_breaker,310.3333333333333,18.14754345175493,93.33333333333333,16.165807537309522,3,279.3333333333333,78.0,31.0,11.09785202863962,15.333333333333329,19.658119658119652,priority,False,11,7,17.43,22.57242988055185,88.358576276534,60,9.8965625,17.99,32,0.0909375,55.47870967741935,0.0,1.900967741935484,7.041935483870968,0.37,-0.559375,-5.0,343,32,True
cluster_11158897100_11158897101_11158897102_664471748_#1more,none,243.0,5.5677643628300215,68.0,10.583005244258363,3,243.0,68.0,0.0,0.0,0.0,0.0,priority,False,12,8,18.06,22.5670752823748,88.35445497749566,46,10.384117647058824,17.99,28,0.0544117647058823,44.268214285714286,0.0,-0.2096428571428571,7.987777777777778,0.19,-0.0685294117647058,-5.0,252,34,False
cluster_11158897100_11158897101_11158897102_664471748_#1more,speed_breaker,274.6666666666667,10.969655114602885,82.0,21.166010488516726,3,243.0,68.0,31.666666666666686,13.031550068587114,14.0,20.588235294117645,priority,False,12,8,18.06,22.5670752823748,88.35445497749566,46,10.384117647058824,17.99,28,0.0544117647058823,44.268214285714286,0.0,-0.2096428571428571,7.987777777777778,0.19,-0.0685294117647058,-5.0,252,34,True
cluster_1177211304_1177211692,none,528.6666666666666,5.686240703077315,168.0,14.177446878757825,3,528.6666666666666,168.0,0.0,0.0,0.0,0.0,priority,False,6,6,13.89,22.56827549787022,88.35952267177686,54,9.561666666666667,17.99,43,0.1966666666666666,37.92888888888889,0.0,3.185555555555556,5.225555555555555,0.5,-0.0975,-5.0,120,12,False
cluster_1177211304_1177211692,speed_breaker,519.6666666666666,6.0277137733417065,178.0,13.228756555322953,3,528.6666666666666,168.0,-9.0,-1.7023959646910467,10.0,5.952380952380952,priority,False,6,6,13.89,22.56827549787022,88.35952267177686,54,9.561666666666667,17.99,43,0.1966666666666666,37.92888888888889,0.0,3.185555555555556,5.225555555555555,0.5,-0.0975,-5.0,120,12,True
cluster_1177211838_13300645525_13300645528,none,511.6666666666667,54.123315986119444,179.0,14.0,3,511.6666666666667,179.0,0.0,0.0,0.0,0.0,traffic_light,True,10,10,19.45,22.56748068114817,88.3601725919936,21,12.509,17.82,16,0.1895,28.74666666666667,0.0,-1.6133333333333333,10.127222222222224,0.47,-0.4925,-5.0,93,20,False
cluster_1177211838_13300645525_13300645528,signal_retiming,489.0,21.656407827707714,182.33333333333334,9.237604307034013,3,511.6666666666667,179.0,-22.666666666666686,-4.4299674267101015,3.333333333333343,1.8621973929236553,traffic_light,True,10,10,19.45,22.56748068114817,88.3601725919936,21,12.509,17.82,16,0.1895,28.74666666666667,0.0,-1.6133333333333333,10.127222222222224,0.47,-0.4925,-5.0,93,20,False
cluster_1177211838_13300645525_13300645528,speed_breaker,540.6666666666666,28.290163190291675,187.66666666666666,4.725815626252612,3,511.6666666666667,179.0,28.999999999999943,5.667752442996731,8.666666666666657,4.841713221601484,traffic_light,True,10,10,19.45,22.56748068114817,88.3601725919936,21,12.509,17.82,16,0.1895,28.74666666666667,0.0,-1.6133333333333333,10.127222222222224,0.47,-0.4925,-5.0,93,20,False
cluster_1177212073_13300645524_664471560,none,487.6666666666667,36.69241520169165,172.33333333333334,11.060440015358035,3,487.6666666666667,172.33333333333334,0.0,0.0,0.0,0.0,traffic_light,True,10,10,17.22,22.566923595657745,88.36006394234461,21,10.532857142857145,16.48,13,0.0985714285714285,26.590370370370373,0.0,-1.2003703703703703,13.252592592592592,0.03,-0.4160714285714286,-5.0,164,28,False
cluster_1177212073_13300645524_664471560,signal_retiming,454.3333333333333,19.13983629327413,145.33333333333334,13.796134724383254,3,487.6666666666667,172.33333333333334,-33.33333333333337,-6.835269993164737,-27.0,-15.667311411992262,traffic_light,True,10,10,17.22,22.566923595657745,88.36006394234461,21,10.532857142857145,16.48,13,0.0985714285714285,26.590370370370373,0.0,-1.2003703703703703,13.252592592592592,0.03,-0.4160714285714286,-5.0,164,28,True
cluster_1177212073_13300645524_664471560,speed_breaker,484.6666666666667,13.650396819628842,174.66666666666666,9.291573243177567,3,487.6666666666667,172.33333333333334,-3.0,-0.6151742993848257,2.3333333333333144,1.3539651837524067,traffic_light,True,10,10,17.22,22.566923595657745,88.36006394234461,21,10.532857142857145,16.48,13,0.0985714285714285,26.590370370370373,0.0,-1.2003703703703703,13.252592592592592,0.03,-0.4160714285714286,-5.0,164,28,False
cluster_1186025344_13298747727_13298747728_13298747738_#3more,none,497.6666666666667,44.99259198282906,169.33333333333334,12.58305739211792,3,497.6666666666667,169.33333333333334,0.0,0.0,0.0,0.0,traffic_light,True,15,15,11.85,22.57220210547858,88.35292185263569,36,2.8072222222222223,12.88,28,0.0783333333333333,33.845882352941175,0.0,-0.1005882352941176,18.283529411764704,0.17,-0.2827777777777778,-5.0,154,18,False
